latitud,provincia,altitud,indicativo,nombre,indsinop,longitud
413515N,BARCELONA,74,0252D,ARENYS DE MAR,08186,023224E
411734N,BARCELONA,4,0076,BARCELONA AEROPUERTO,08181,020412E
412506N,BARCELONA,408,0200E,"BARCELONA, FABRA",,020727E
412326N,BARCELONA,6,0201D,BARCELONA,08180,021200E
414312N,BARCELONA,291,0149X,MANRESA,08174,015025E
413125N,BARCELONA,146,0229I,SABADELL AEROPUERTO,08192,020611E
413903N,BARCELONA,40,0255B,SANTA SUSANNA,08188,024149E
404735N,MADRID,1894,2462,PUERTO DE NAVACERRADA,08215,040038W
400402N,MADRID,540,3100B,ARANJUEZ,08229,033246W
410025N,MADRID,1030,3110C,BUITRAGO DEL LOZOYA,08146,033649W
404146N,MADRID,1004,3191E,COLMENAR VIEJO,08219,034554W
401758N,MADRID,620,3200,GETAFE,08224,034320W
402800N,MADRID,609,3129,MADRID AEROPUERTO,08221,033320W
402706N,MADRID,664,3194U,"MADRID, CIUDAD UNIVERSITARIA",08220,034327W
402232N,MADRID,690,3196,"MADRID, CUATRO VIENTOS",08223,034710W
402443N,MADRID,667,3195,"MADRID, RETIRO",08222,034041W
404223N,MADRID,1532,3266A,PUERTO ALTO DEL LEÓN,08217,040831W
402540N,MADRID,763,3338,ROBLEDO DE CHAVELA,08212,041500W
410808N,MADRID,1450,3111D,SOMOSIERRA,08145,033449W
402919N,MADRID,607,3175,TORREJÓN DE ARDOZ,08227,032637W
