fecha,tempsActual
2018-06-01,219.0
2018-06-02,206.0
2018-06-03,206.0
2018-06-04,215.0
2018-06-05,209.0
2018-06-06,210.5
2018-06-07,208.0
2018-06-08,207.0
2018-06-09,207.0
2018-06-10,206.0
2018-06-11,219.0
2018-06-12,219.0
2018-06-13,215.0
2018-06-14,221.0
2018-06-15,228.0
2018-06-16,206.0
2018-06-17,206.0
2018-06-18,214.0
2018-06-19,215.0
2018-06-20,221.0
2018-06-21,220.0
2018-06-22,220.0
2018-06-23,206.0
2018-06-24,205.0
2018-06-25,219.0
2018-06-26,219.0
2018-06-27,220.0
2018-06-28,222.0
2018-06-29,222.0
2018-06-30,207.0
